word,frequency
dresser,99.86
fil,99.73
hiver,99.53
risquer,99.32
morceau,99.32
visite,99.32
appartement,99.26
sauver,99.05
camarade,98.99
roi,98.92
facile,98.65
maintenir,98.51
retirer,98.31
adresser,98.04
national,98.04
liberté,97.97
davantage,97.84
promener,97.77
honneur,97.36
intérêt,97.36
existence,97.36
voici,97.3
tromper,97.3
trait,97.3
camp,97.23
compagnie,97.16
juger,96.96
rôle,96.96
autrefois,96.96
téléphone,96.82
étage,96.55
sable,96.55
grand-père,96.49
avouer,96.22
militaire,96.22
rose,96.08
secret,96.01
impossible,96.01
nature,95.88
diriger,95.68
figure,95.34
faute,95.2
vif,95.07
drôle,95.07
arrière,95.0
problème,95.0
quinze,94.8
photo,94.59
balle,94.59
engager,94.59
grand-mère,94.59
trembler,94.05
fête,94.05
amener,93.92
grave,93.78
l'une,93.58
auprès,93.45
lampe,93.11
casser,92.7
vendre,92.64
hier,92.64
beauté,92.64
malheur,92.64
sonner,92.57
danser,92.57
capitaine,92.57
hors,92.43
écarter,92.36
appartenir,92.36
exactement,92.36
oeuvre,92.23
vivant,92.23
différent,92.03
lointain,91.96
confiance,91.96
tranquille,91.96
douleur,91.89
refermer,91.76
toit,91.76
condition,91.62
allemand,91.55
art,91.49
chemise,91.42
profiter,91.22
détail,91.15
défendre,91.08
glace,91.01
écraser,90.81
pont,90.81
poste,90.68
épais,90.61
pur,90.34
vêtement,90.14
tableau,90.0
cousin,89.93
allonger,89.66
sinon,89.26
agiter,89.19
lâcher,89.19
paquet,89.19
réfléchir,89.05
poids,89.05
veille,89.05
plan,88.99
hurler,88.65
voler,88.65
second,88.58
filer,88.51
espace,88.51
hein,88.45
désormais,88.45
douter,88.11
terrible,88.11
évidemment,88.11
chapeau,88.04
truc,87.77
passion,87.64
repartir,87.57
considérer,87.43
action,87.43
docteur,87.36
trottoir,87.36
parti,87.36
rare,87.23
pénétrer,87.23
prêter,87.09
personnage,86.96
plage,86.89
meilleur,86.82
gorge,86.82
important,86.76
content,86.49
capable,86.35
plonger,86.22
prononcer,86.08
éclairer,85.95
branche,85.61
représenter,85.54
jeunesse,85.14
patte,85.14
machine,85.0
livrer,84.93
aventure,84.86
événement,84.59
rideau,84.53
métier,84.53
gare,84.53
centre,84.46
conseil,84.46
fumer,84.39
sein,84.05
sauf,83.99
reposer,83.92
pointe,83.85
tas,83.78
caresser,83.72
police,83.72
souffler,83.65
soi,83.65
pâle,83.58
honte,83.45
recommencer,83.31
disposer,83.18
bain,83.04
proche,82.91
franc,82.84
réalité,82.77
éclat,82.77
animal,82.64
vacance,82.57
bateau,82.36
pomme,82.36
inviter,82.3
avance,82.3
posséder,82.23
souhaiter,82.16
tiens,81.89
montagne,81.82
voisin,81.82
étoile,81.82
jurer,81.76
rencontre,81.76
crever,81.55
conscience,81.55
client,81.55
complètement,81.49
achever,81.42
remplir,81.42
supporter,81.22
briller,81.22
course,81.22
ministre,81.15
obtenir,80.95
neige,80.88
cents,80.54
commander,80.34
peindre,80.27
trace,80.27
compagnon,80.0
arrivée,80.0
masse,79.8
courant,79.73
dessiner,79.66
président,79.66
anglais,79.53
somme,79.26
cuir,79.19
trente,79.12
moitié,79.05
officier,79.05
partager,78.99
grâce,78.85
dépasser,78.78
enlever,78.78
mariage,78.72
rond,78.51
cinéma,78.51
mince,78.51
poussière,78.45
imposer,78.38
nombre,78.38
justement,78.18
avion,78.04
bataille,77.77
amitié,77.77
hauteur,77.7
note,77.43
quart,77.3
surprise,77.16
papa,77.16
prévoir,77.09
autorité,77.03
expression,76.89
nuage,76.82
éteindre,76.82
blond,76.76
soirée,76.69
repas,76.62
taille,76.49
foi,76.49
fuir,76.42
port,76.42
croiser,76.35
absence,76.28
vitre,76.22
poing,76.08
poil,76.01
faim,75.95
commun,75.95
regretter,75.88
planter,75.88
arranger,75.81
étroit,75.81
importance,75.81
naturel,75.68
médecin,75.61
sept,75.61
forcer,75.41
attirer,75.27
lunette,75.27
sortie,75.27
étranger,75.0
volonté,74.93
ramasser,74.8
bref,74.8
roman,74.8
américain,74.73
terrain,74.73
claquer,74.19
distinguer,74.12
château,74.12
sûrement,74.12
drap,74.12
film,74.12
terrasse,74.05
silencieux,74.05
quai,73.99
malade,73.92
convenir,73.78
spectacle,73.78
prévenir,73.72
calme,73.65
vague,73.58
évoquer,73.51
appel,73.45
silhouette,73.31
déclarer,73.18
surgir,73.18
endormir,73.18
interroger,73.04
exprimer,72.64
combat,72.57
flic,72.43
prison,72.43
mec,72.3
nord,72.3
loi,72.3
protéger,72.23
bande,72.23
hausser,71.96
cesse,71.96
naturellement,71.96
flamme,71.82
rapide,71.82
vaste,71.76
pantalon,71.76
celui-ci,71.76
croix,71.62
tache,71.28
titre,71.22
parfaitement,71.08
inquiéter,71.01
presser,71.01
gêner,71.01
également,71.01
attacher,71.01
voie,71.01
peser,70.88
vider,70.81
politique,70.81
attaquer,70.41
effacer,70.34
inutile,70.34
valise,70.34
courage,70.34
lors,70.27
opération,70.2
ressentir,70.14
unique,70.14
numéro,70.07
projet,70.0
douceur,70.0
traiter,69.93
causer,69.93
enfermer,69.86
inventer,69.73
solitude,69.73
cuisse,69.73
certes,69.66
amant,69.59
laver,69.53
confier,69.53
horreur,69.46
fatigue,69.46
caisse,69.39
recouvrir,69.26
par-dessus,69.19
reculer,69.05
con,68.99
angoisse,68.99
produire,68.92
immeuble,68.78
britannique,68.72
intention,68.65
dîner,68.58
midi,68.38
cul,68.31
soin,68.24
admirer,68.18
théâtre,68.18
brun,68.18
nécessaire,68.11
manteau,68.11
rassurer,68.04
ranger,67.91
taper,67.91
chasser,67.91
attitude,67.91
accorder,67.84
plaindre,67.84
comte,67.77
balancer,67.7
saluer,67.64
peinture,67.64
obscur,67.57
connaissance,67.5
prétendre,67.43
habiller,67.36
fumée,67.36
destin,67.23
téléphoner,67.03
insister,67.03
précipiter,66.96
tantôt,66.76
désigner,66.69
lune,66.69
banc,66.42
curieux,66.22
horizon,66.15
sérieux,66.01
durant,65.95
mine,65.88
allure,65.88
parfum,65.74
égard,65.61
magasin,65.54
détacher,65.47
soupirer,65.47
riche,65.47
contact,65.47
preuve,65.34
avaler,65.27
public,65.27
légèrement,65.2
avis,65.14
marier,65.07
piquer,64.86
gentil,64.86
membre,64.86
franchir,64.8
nourrir,64.53
renoncer,64.46
contempler,64.46
redresser,64.39
interrompre,64.32
goutte,64.32
creuser,64.19
lueur,64.19
paysage,64.12
lent,64.12
fruit,64.05
couple,63.99
miroir,63.99
professeur,63.92
flotter,63.85
vêtir,63.85
attente,63.85
comité,63.65
billet,63.58
affirmer,63.51
empire,63.51
repousser,63.45
absolument,63.45
paupière,63.45
position,63.38
saint,63.31
victoire,63.24
étaler,63.11
élément,63.04
étude,63.04
uns,62.91
lait,62.91
remuer,62.84
merde,62.77
normal,62.77
autrement,62.77
déposer,62.7
maigre,62.7
détester,62.64
rapidement,62.64
supposer,62.5
rapporter,62.43
distance,62.43
marché,62.43
allée,62.36
mademoiselle,62.36
nommer,62.3
assister,62.23
société,62.23
kilomètre,62.23
caractère,62.16
minuscule,62.09
couverture,62.03
désirer,61.89
salut,61.82
parcourir,61.82
excuser,61.82
inconnu,61.82
précis,61.82
plat,61.76
gosse,61.76
tendresse,61.69
briser,61.62
entendu,61.62
veste,61.62
céder,61.35
bar,61.35
soutenir,61.22
souci,61.22
boule,61.22
boulevard,61.15
cinquante,61.08
môme,61.08
tapis,60.88
printemps,60.88
folie,60.74
maladie,60.68
transformer,60.68
remplacer,60.61
contenter,60.61
aile,60.47
quelquefois,60.47
but,60.41
révéler,60.34
sueur,60.34
nombreux,60.27
seigneur,60.14
exiger,60.07
plume,60.0
décision,60.0
menton,60.0
certainement,59.93
terme,59.73
déjeuner,59.66
émotion,59.59
étouffer,59.46
admettre,59.46
chasse,59.46
manche,59.39
prochain,59.32
épouser,59.26
gars,59.26
ennuyer,59.12
qualité,59.12
deuxième,59.05
double,58.99
sort,58.92
contenir,58.92
finalement,58.92
malheureux,58.85
expérience,58.72
palais,58.72
discuter,58.65
a,58.65
retomber,58.58
univers,58.45
perdu,58.45
matière,58.45
amoureux,58.45
longuement,58.45
grille,58.24
rang,58.24
circonstance,58.24
territoire,58.24
échanger,58.18
fier,58.18
promenade,58.11
pitié,58.11
dégager,58.04
pendre,58.04
ferme,58.04
humeur,58.04
siège,57.91
vitesse,57.84
queue,57.84
établir,57.77
élève,57.77
chaîne,57.77
aube,57.77
envahir,57.7
pire,57.7
angle,57.64
dessus,57.57
celle-ci,57.57
col,57.43
troisième,57.43
constater,57.43
acte,57.3
paysan,57.3
figurer,57.23
surface,57.09
vain,57.03
celui-là,56.89
crâne,56.82
abri,56.76
réunir,56.69
assiette,56.62
ennui,56.62
violence,56.49
chaussure,56.49
résistance,56.49
fermé,56.35
cave,56.35
fournir,56.28
dessin,56.28
récit,56.15
véritable,56.08
costume,55.88
signer,55.81
juif,55.74
rayon,55.74
fusil,55.68
colline,55.61
aide,55.54
attraper,55.34
allié,55.34
éveiller,55.27
danger,55.27
accomplir,55.2
bonne,55.2
puissance,55.2
demi,55.2
conserver,55.14
vieillard,55.14
essuyer,55.0
etc,55.0
tort,55.0
radio,55.0
lieutenant,54.93
hôpital,54.93
détourner,54.86
créer,54.8
diable,54.8
recherche,54.8
accueillir,54.73
sauvage,54.66
rapprocher,54.66
baiser,54.59
portrait,54.59
mériter,54.53
plateau,54.53
lecture,54.53
poisson,54.46
remercier,54.46
constituer,54.39
surveiller,54.39
interdire,54.39
curiosité,54.39
cercle,54.26
régler,54.19
efforcer,54.19
coude,54.19
indiquer,54.12
million,54.05
cadavre,54.05
verser,53.99
meuble,53.99
particulier,53.99
maîtresse,53.92
arrêt,53.92
confondre,53.85
ceci,53.78
subir,53.72
rendez-vous,53.72
succès,53.72
faible,53.65
mystérieux,53.65
merci,53.51
vache,53.45
charme,53.45
humide,53.31
brillant,53.31
région,53.31
boue,53.31
fameux,53.11
déchirer,53.11
au-delà,52.91
naissance,52.91
semblable,52.91
soit,52.91
héros,52.77
divers,52.77
santé,52.7
rassembler,52.7
sexe,52.7
construire,52.64
rompre,52.64
aise,52.64
crainte,52.64
couteau,52.64
menacer,52.57
désert,52.57
auquel,52.57
haine,52.5
prouver,52.43
détruire,52.36
invisible,52.36
relation,52.36
défense,52.3
valeur,52.3
jadis,52.3
bizarre,52.23
visiter,52.16
résister,52.16
erreur,52.09
mentir,52.03
c'est-à-dire,51.96
curé,51.82
conclure,51.76
vaguement,51.76
mode,51.69
génie,51.62
soie,51.62
bonjour,51.55
certaines,51.55
réserve,51.55
fortune,51.49
violent,51.49
choix,51.42
ouvrier,51.35
heureusement,51.35
juin,51.28
vieil,51.22
grimper,51.15
suivant,51.08
moteur,51.08
guetter,51.01
dissimuler,51.01
mystère,51.01
nuque,50.95
gloire,50.88
cadeau,50.81
reflet,50.74
camion,50.74
examiner,50.68
sourd,50.68
réduire,50.61
abattre,50.61
dominer,50.61
barbe,50.54
discours,50.54
concerner,50.47
doré,50.47
toutes,50.47
moquer,50.34
article,50.34
plafond,50.34
risque,50.27
plier,50.2
navire,50.2
frotter,50.14
oeuf,50.14
uniforme,50.14
colonne,50.07
incliner,50.0
personnel,50.0
creux,49.93
règle,49.93
chauffeur,49.86
seuil,49.86
regagner,49.8
difficulté,49.8
social,49.8
adresse,49.8
commandant,49.8
emplir,49.73
os,49.73
est,49.73
crise,49.73
août,49.66
pente,49.66
saison,49.59
jupe,49.59
obscurité,49.39
réclamer,49.26
talon,49.26
source,49.19
dossier,49.12
fatiguer,49.05
restaurant,48.99
écrivain,48.99
canon,48.99
débarrasser,48.92
gras,48.92
boutique,48.92
provoquer,48.85
lutter,48.78
leçon,48.72
tristesse,48.72
imagination,48.58
clé,48.58
apparence,48.51
libérer,48.51
russe,48.51
mordre,48.45
mission,48.45
corde,48.38
préciser,48.31
voile,48.31
vol,48.31
douze,48.18
coûter,48.11
pot,48.04
eux-mêmes,48.04
usage,47.97
lesquels,47.91
familier,47.91
rejeter,47.84
montre,47.84
appliquer,47.84
entreprendre,47.84
puissant,47.7
avenue,47.7
sourcil,47.64
réserver,47.57
gonfler,47.57
dangereux,47.57
fabriquer,47.57
principe,47.57
juillet,47.57
composer,47.57
sommet,47.5
régner,47.43
écrier,47.43
illusion,47.36
mesurer,47.3
linge,47.3
limite,47.23
signifier,47.23
misère,47.23
commandement,47.23
nation,47.23
organiser,47.16
fouiller,47.16
souffrance,47.16
pleuvoir,47.09
colonel,47.03
système,46.96
désespoir,46.89
fleuve,46.89
sensation,46.89
mouche,46.89
flanc,46.89
déplacer,46.82
taxi,46.82
origine,46.82
façade,46.76
inquiétude,46.76
grandir,46.69
supérieur,46.69
style,46.62
époux,46.62
retard,46.62
chanson,46.55
inquiet,46.55
envelopper,46.49
habituer,46.42
entretenir,46.42
convaincre,46.35
justice,46.28
explication,46.28
épreuve,46.28
cellule,46.28
employer,46.22
victime,46.22
incapable,46.22
domaine,46.22
rive,46.15
plaque,46.15
lier,46.08
poignée,46.08
révolution,46.08
opposer,46.01
témoin,46.01
grange,46.01
prière,45.95
écho,45.95
rythme,45.95
flot,45.95
artiste,45.88
obéir,45.88
éternel,45.88
mai,45.88
cracher,45.81
marchand,45.81
date,45.74
muet,45.74
toilette,45.68
hippo,45.61
joyeux,45.61
décor,45.61
armoire,45.54
extrême,45.54
accent,45.54
ridicule,45.54
ongle,45.47
rage,45.34
fragile,45.34
prêtre,45.27
sacré,45.2
hâte,45.2
bébé,45.2
fesse,45.14
calmer,45.07
crime,45.07
moustache,45.07
peintre,45.07
atelier,45.07
disposition,45.07
inspirer,45.0
libération,45.0
portier,45.0
user,45.0
viande,45.0
botte,44.93
enfiler,44.86
thé,44.86
clef,44.86
