,word,frequency,known
378,jambe,220.95,1
379,cinq,220.61,1
380,vent,220.27,1
381,occuper,219.8,1
382,agir,219.73,1
383,tendre,218.38,1
384,état,218.18,1
385,sens,217.5,1
386,âge,217.43,1
387,cas,217.36,1
388,frère,216.35,1
389,esprit,216.28,1
390,salle,215.81,1
391,souvenir,215.41,1
392,décider,214.19,1
393,offrir,213.99,1
394,dos,213.99,1
395,fort,212.77,1
396,possible,211.96,1
397,partie,211.49,1
398,dix,209.86,1
399,l'un,208.92,1
400,arbre,208.58,1
401,compte,208.38,1
402,bleu,207.64,1
403,serrer,207.5,1
404,propre,207.5,1
405,sang,207.3,1
406,soudain,207.3,1
407,lorsque,207.09,1
408,chef,205.95,1
409,compter,203.72,1
410,plusieurs,203.58,1
411,madame,203.45,1
412,papier,203.11,1
413,travailler,202.7,1
414,remettre,202.5,1
415,lui-même,202.3,1
416,rappeler,202.23,1
417,minute,201.42,1
418,traverser,200.81,1
419,mauvais,200.61,1
420,répéter,200.14,1
421,coin,199.26,1
422,couleur,198.72,1
423,découvrir,198.18,1
424,journal,197.7,1
425,manquer,197.64,1
426,semaine,197.5,1
427,cause,197.3,1
428,fermer,197.16,1
429,oh,197.09,1
430,haut,196.76,1
431,coucher,196.22,1
432,approcher,196.15,1
433,odeur,195.68,1
434,avancer,195.0,1
435,argent,194.39,1
436,toute,194.26,1
437,oreille,194.12,1
438,effet,192.36,1
439,malgré,191.55,1
440,toucher,190.27,1
441,heureux,190.0,1
442,aussitôt,189.93,1
443,pierre,189.86,1
444,image,188.92,1
445,rencontrer,188.51,1
446,chacun,187.84,1
447,peau,187.77,1
448,pauvre,187.77,1
449,bas,187.09,1
450,jardin,185.81,1
451,laquelle,185.27,1
452,chien,184.59,1
453,permettre,184.19,1
454,type,184.19,1
455,disparaître,183.31,1
456,mouvement,182.97,1
457,certain,182.64,1
458,battre,182.36,1
459,cacher,181.89,1
460,aucun,180.95,1
461,gagner,180.88,1
462,vos,180.27,1
463,partout,179.39,1
464,journée,179.39,1
465,cheval,179.26,1
466,parole,178.31,1
467,cesser,177.77,1
468,envoyer,177.64,1
469,nez,177.64,1
470,café,177.3,1
471,cours,176.76,1
472,forme,176.69,1
473,eh,176.62,1
474,au-dessus,176.35,1
475,valoir,175.74,1
476,aucune,174.73,1
477,sac,174.26,1
478,jeu,173.31,1
479,importer,173.11,1
480,nouvelle,172.5,1
481,foutre,172.3,1
482,parmi,171.96,1
483,empêcher,171.28,1
484,tuer,171.15,1
485,bientôt,169.59,1
486,d'abord,169.32,1
487,ensuite,169.19,1
488,reste,168.58,1
489,tellement,168.51,1
490,frapper,168.31,1
491,nu,168.04,1
492,libre,167.91,1
493,lancer,165.07,1
494,fleur,164.39,1
495,fou,164.32,1
496,droit,163.72,1
497,rouler,163.45,1
498,pleurer,163.31,1
499,bonheur,162.36,1
500,ligne,162.3,1
501,installer,162.23,1
502,froid,161.69,1
503,signe,161.28,1
504,soeur,161.01,1
505,remonter,160.14,1
506,suffire,159.39,1
507,apporter,159.32,1
508,apparaître,159.26,1
509,front,159.12,1
510,hôtel,158.92,1
511,debout,158.85,1
512,aider,158.65,1
513,retour,158.65,1
514,aujourd'hui,158.24,1
515,genre,157.91,1
516,manière,157.77,1
517,ressembler,157.5,1
518,sentiment,157.3,1
519,bouger,156.76,1
520,clair,156.69,1
521,lentement,156.55,1
522,parvenir,156.42,1
523,six,156.22,1
524,pencher,155.88,1
525,oser,155.54,1
526,cri,155.41,1
527,impression,155.27,1
528,ancien,154.86,1
529,gris,154.86,1
530,vingt,154.59,1
531,habitude,154.46,1
532,passage,154.39,1
533,préparer,154.12,1
534,juste,153.45,1
535,marche,152.97,1
536,refuser,152.77,1
537,âme,151.62,1
538,pensée,151.55,1
539,maître,151.49,1
540,dame,151.35,1
541,léger,151.01,1
542,sol,150.34,1
543,payer,150.2,1
544,joie,150.2,1
545,cour,150.14,1
546,bureau,150.07,1
547,pareil,149.66,1
548,lendemain,149.26,1
549,escalier,148.85,1
550,simple,148.58,1
551,acheter,148.38,1
552,exister,148.18,1
553,robe,148.18,1
554,entier,147.91,1
555,vide,147.5,1
556,dur,146.69,1
557,armée,146.55,1
558,parent,146.35,1
559,poche,146.28,1
560,lourd,145.88,1
561,vert,145.14,1
562,doux,145.07,1
563,église,145.07,1
564,ensemble,145.07,1
565,tes,145.0,1
566,accepter,144.66,1
567,conduire,144.66,1
568,maman,144.39,1
569,vue,144.39,1
570,village,143.99,1
571,école,143.99,1
572,retenir,143.92,1
573,sec,142.84,1
574,service,142.77,1
575,remarquer,142.16,1
576,mille,142.09,1
577,ventre,141.96,1
578,goût,141.82,1
579,espèce,141.69,1
580,début,141.49,1
581,présent,141.01,1
582,fixer,140.95,1
583,couper,140.88,1
584,vérité,140.88,1
585,phrase,140.47,1
586,voyage,140.07,1
587,plaire,139.8,1
588,taire,139.8,1
589,cependant,139.73,1
590,revoir,139.46,1
591,époque,138.51,1
592,feuille,138.04,1
593,mener,137.7,1
594,endroit,137.57,1
595,embrasser,137.5,1
596,lequel,137.09,1
597,effort,136.62,1
598,chance,136.35,1
599,tandis que,136.15,1
600,accord,136.15,1
601,intérieur,135.88,1
602,saisir,135.74,1
603,présence,135.54,1
604,cuisine,135.41,1
605,cent,135.41,1
606,présenter,135.14,1
607,espérer,134.93,1
608,rejoindre,134.8,1
609,sauter,134.59,1
610,gauche,134.59,1
611,simplement,134.32,1
612,demain,134.12,1
613,boîte,134.05,1
614,choisir,133.92,1
615,annoncer,133.92,1
616,cher,133.65,1
617,couvrir,133.51,1
618,larme,133.51,1
619,préférer,133.38,1
620,éloigner,133.11,1
621,siècle,132.91,1
622,mesure,132.84,1
623,échapper,132.64,1
624,patron,132.43,1
625,ouvert,132.36,1
626,gouvernement,132.03,1
627,puisque,131.82,1
628,rapport,130.95,1
629,chat,130.74,1
630,moindre,130.27,1
631,mètre,130.07,1
632,or,130.0,1
633,quelqu'un,128.92,1
634,soldat,128.92,1
635,demeurer,128.85,1
636,rêve,128.58,1
637,abandonner,128.45,1
638,doucement,128.38,1
639,rêver,128.18,1
640,genou,127.91,1
641,oncle,127.7,1
642,éprouver,127.09,1
643,tenter,126.96,1
644,atteindre,126.76,1
645,tôt,126.76,1
646,exemple,126.62,1
647,assurer,126.55,1
648,langue,126.28,1
649,appuyer,126.01,1
650,contraire,126.01,1
651,chanter,125.81,1
652,sombre,125.74,1
653,dent,125.68,1
654,été,125.47,1
655,réveiller,125.41,1
656,relever,124.93,1
657,attention,124.53,1
658,accompagner,124.46,1
659,objet,124.32,1
660,mari,124.26,1
661,hasard,124.19,1
662,murmurer,123.58,1
663,départ,123.04,1
664,traîner,122.77,1
665,pluie,122.57,1
666,groupe,122.5,1
667,hésiter,122.43,1
668,charger,122.16,1
669,réussir,122.16,1
670,joue,121.76,1
671,seconde,121.49,1
672,emporter,121.28,1
673,prêt,121.28,1
674,couler,121.15,1
675,amuser,120.95,1
676,énorme,120.0,1
677,joli,120.0,1
678,d'autres,119.73,1
679,proposer,119.66,1
680,naître,119.32,1
681,souffrir,119.26,1
682,entrée,118.78,1
683,telle,118.58,1
684,herbe,118.51,1
685,tante,118.38,1
686,chaise,118.31,1
687,difficile,118.11,1
688,droite,117.97,1
689,là-bas,117.7,1
690,intéresser,117.36,1
691,bête,117.36,1
692,désir,117.09,1
693,surprendre,116.62,1
694,étonner,116.55,1
695,immobile,116.42,1
696,secouer,116.35,1
697,allumer,116.28,1
698,chaleur,116.22,1
699,observer,116.01,1
700,tel,115.74,1
701,page,115.54,1
702,cou,115.34,1
703,conversation,115.34,1
704,baisser,115.27,1
705,cigarette,114.93,1
706,scène,114.93,1
707,sommeil,114.8,1
708,musique,114.32,1
709,fer,114.19,1
710,avenir,113.72,1
711,passé,113.51,1
712,elle-même,113.51,1
713,soulever,113.38,1
714,arracher,113.38,1
715,forêt,113.31,1
716,chaud,113.31,1
717,neuf,113.18,1
718,oiseau,113.04,1
719,mêler,112.64,1
720,habiter,112.5,1
721,côte,112.5,1
722,deviner,112.3,1
723,foule,112.3,1
724,quartier,112.16,1
725,entourer,112.09,1
726,garde,112.09,1
727,ennemi,111.96,1
728,étendre,111.89,1
729,frais,111.69,1
730,humain,111.55,1
731,arme,111.49,1
732,brusquement,111.42,1
733,carte,111.42,1
734,selon,110.88,1
735,mémoire,110.88,1
736,guère,110.68,1
737,éviter,110.47,1
738,vin,110.47,1
739,former,110.27,1
740,gueule,109.93,1
741,jaune,109.86,1
742,séparer,109.8,1
743,faux,109.59,1
744,ramener,109.26,1
745,dehors,109.05,1
746,court,108.99,1
747,classe,108.92,1
748,ignorer,108.45,1
749,trou,108.38,1
750,craindre,108.31,1
751,île,108.24,1
752,direction,108.04,1
753,combien,108.04,1
754,celles,107.97,1
755,obliger,107.57,1
756,large,107.5,1
757,prix,107.5,1
758,peuple,107.3,1
759,moi-même,107.3,1
760,campagne,107.23,1
761,coller,107.16,1
762,moyen,107.03,1
763,immense,106.89,1
764,toile,106.62,1
765,champ,106.49,1
766,poursuivre,106.42,1
767,propos,106.28,1
768,prier,105.74,1
769,occasion,105.74,1
770,profond,105.74,1
771,sujet,105.74,1
772,triste,105.61,1
773,emmener,105.47,1
774,pain,105.41,1
775,troupe,105.41,1
776,songer,104.86,1
777,situation,104.86,1
778,enfoncer,104.8,1
779,brûler,104.73,1
780,couloir,104.53,1
781,poitrine,104.46,1
782,bouteille,104.05,1
783,enfance,103.99,1
784,élever,103.85,1
785,paix,103.72,1
786,étrange,103.58,1
787,copain,103.38,1
788,huit,102.5,1
789,respirer,102.43,1
790,sale,102.03,1
791,fauteuil,102.03,1
792,espoir,101.89,1
793,placer,101.76,1
794,chair,101.69,1
795,durer,101.62,1
796,promettre,101.42,1
797,certains,101.28,1
798,prince,101.22,1
799,salon,101.22,1
800,dimanche,101.15,1
801,entraîner,101.08,1
802,marquer,101.08,1
803,éclater,100.47,1
804,souffle,100.2,1
805,colère,100.07,1
806,terminer,100.0,1
807,accrocher,99.93,1
808,réponse,99.93,1
809,dresser,99.86,1
810,fil,99.73,1
811,hiver,99.53,1
812,risquer,99.32,1
813,morceau,99.32,1
814,visite,99.32,1
815,appartement,99.26,1
816,sauver,99.05,1
817,camarade,98.99,1
818,roi,98.92,1
819,facile,98.65,1
820,maintenir,98.51,1
821,retirer,98.31,1
822,adresser,98.04,1
823,national,98.04,1
824,liberté,97.97,1
825,davantage,97.84,1
826,promener,97.77,1
827,honneur,97.36,1
828,intérêt,97.36,1
829,existence,97.36,1
830,voici,97.3,1
831,tromper,97.3,1
832,trait,97.3,1
833,camp,97.23,1
834,compagnie,97.16,1
835,juger,96.96,1
836,rôle,96.96,1
837,autrefois,96.96,1
838,téléphone,96.82,1
839,étage,96.55,1
840,sable,96.55,1
841,grand-père,96.49,1
842,avouer,96.22,1
843,militaire,96.22,1
844,rose,96.08,1
845,secret,96.01,1
846,impossible,96.01,1
847,nature,95.88,1
848,diriger,95.68,1
849,figure,95.34,1
850,faute,95.2,1
851,vif,95.07,1
852,drôle,95.07,1
853,arrière,95.0,1
854,problème,95.0,1
855,quinze,94.8,1
856,photo,94.59,1
857,balle,94.59,1
858,engager,94.59,1
859,grand-mère,94.59,1
860,trembler,94.05,1
861,fête,94.05,1
862,amener,93.92,1
863,grave,93.78,1
864,l'une,93.58,1
865,auprès,93.45,1
866,lampe,93.11,1
867,casser,92.7,1
868,vendre,92.64,1
869,hier,92.64,1
870,beauté,92.64,1
871,malheur,92.64,1
872,sonner,92.57,1
873,danser,92.57,1
874,capitaine,92.57,1
875,hors,92.43,1
876,écarter,92.36,1
877,appartenir,92.36,1
878,exactement,92.36,1
879,oeuvre,92.23,1
880,vivant,92.23,1
881,différent,92.03,1
882,lointain,91.96,1
883,confiance,91.96,1
884,tranquille,91.96,1
885,douleur,91.89,1
886,refermer,91.76,1
887,toit,91.76,1
888,condition,91.62,1
889,allemand,91.55,1
890,art,91.49,1
891,chemise,91.42,1
892,profiter,91.22,1
893,détail,91.15,1
894,défendre,91.08,1
895,glace,91.01,1
896,écraser,90.81,1
897,pont,90.81,1
898,poste,90.68,1
899,épais,90.61,1
900,pur,90.34,1
901,vêtement,90.14,1
902,tableau,90.0,1
903,cousin,89.93,1
904,allonger,89.66,1
905,sinon,89.26,1
906,agiter,89.19,1
907,lâcher,89.19,1
908,paquet,89.19,1
909,réfléchir,89.05,1
910,poids,89.05,1
911,veille,89.05,1
912,plan,88.99,1
913,hurler,88.65,1
914,voler,88.65,1
915,second,88.58,1
916,filer,88.51,1
917,espace,88.51,1
918,hein,88.45,1
919,désormais,88.45,1
920,douter,88.11,1
921,terrible,88.11,1
922,évidemment,88.11,1
923,chapeau,88.04,1
924,truc,87.77,1
925,passion,87.64,1
926,repartir,87.57,1
927,considérer,87.43,1
928,action,87.43,1
929,docteur,87.36,1
930,trottoir,87.36,1
931,parti,87.36,1
932,rare,87.23,1
933,pénétrer,87.23,1
934,prêter,87.09,1
935,personnage,86.96,1
936,plage,86.89,1
937,meilleur,86.82,1
938,gorge,86.82,1
939,important,86.76,1
940,content,86.49,1
941,capable,86.35,1
942,plonger,86.22,1
943,prononcer,86.08,1
944,éclairer,85.95,1
945,branche,85.61,1
946,représenter,85.54,1
947,jeunesse,85.14,1
948,patte,85.14,1
949,machine,85.0,1
950,livrer,84.93,1
951,aventure,84.86,1
952,événement,84.59,1
953,rideau,84.53,1
954,métier,84.53,1
955,gare,84.53,1
956,centre,84.46,1
957,conseil,84.46,1
958,fumer,84.39,1
959,sein,84.05,1
960,sauf,83.99,1
961,reposer,83.92,1
962,pointe,83.85,1
963,tas,83.78,1
964,caresser,83.72,1
965,police,83.72,1
966,souffler,83.65,1
967,soi,83.65,1
968,pâle,83.58,1
969,honte,83.45,1
970,recommencer,83.31,1
971,disposer,83.18,1
972,bain,83.04,1
973,proche,82.91,1
974,franc,82.84,1
975,réalité,82.77,1
976,éclat,82.77,1
977,animal,82.64,1
978,vacance,82.57,1
979,bateau,82.36,1
980,pomme,82.36,1
981,inviter,82.3,1
982,avance,82.3,1
983,posséder,82.23,1
984,souhaiter,82.16,1
985,tiens,81.89,1
986,montagne,81.82,1
987,voisin,81.82,1
988,étoile,81.82,1
989,jurer,81.76,1
990,rencontre,81.76,1
991,crever,81.55,1
992,conscience,81.55,1
993,client,81.55,1
994,complètement,81.49,1
995,achever,81.42,1
996,remplir,81.42,1
997,supporter,81.22,1
998,briller,81.22,1
999,course,81.22,1
1000,ministre,81.15,1
1001,obtenir,80.95,1
1002,neige,80.88,1
